ID	CONTENT_PAGE_ID	CONTENT_MENU_ID	SUBMENU_KEY	NAME_BASE	NAME_LOCAL	ADDRESS_BASE	ADDRESS_LOCAL	PHONE_BASE	PHONE_LOCAL	IMG_SRC	PROMOTION_DETAIL_BASE	PROMOTION_START_DATE	PROMOTION_END_DATE	WEB_PAGE	DETAIL_BASE	DETAIL_LOCAL	PROMOTION_DETAIL_LOCAL	IMGICON_SRC
"321,401"	3	3	rentacar	Budget Rent a Car	???? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	+966 11 4036664	+966 11 4036664	photo/submenu/buyuk/rent_a_car.png				http://www.budgetsaudi.com	"Budget offers you a full range of services for all your rental needs: 
Domestic and international short term rentals, long term rentals, chauffeur drive, premier limousine service, cross border rentals, corporate program, frequent renters loyalty program, coporate leasing..."	???? ?????? ????????		photo/submenu/kucuk/rent_a_car.png
"323,204"	3	7	ticketSale	Nesma Airlines	???? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"	92 000 32 32	92 000 32 32	photo/submenu/buyuk/ticket_sale.png				http://www.nesmaairlines.com/	"Nesma Airlines, a member of Saudi Arabia’s Nesma Group, is a flag carrier of two countries: The Kingdom of Saudi Arabia and The Arabic Republic of Egypt. Nesma Airlines operates scheduled domestic flights within Saudi Arabia as well as international regional flights. Nesma Airlines operates as a full-service carrier on international flights, offering a choice of travel between Business Class and Economy Class."	"???? ??????? ??? ?????? ????? ???? ??????? ?? ??????? ??????? ????????? ??? ?????? ?????? ???????: ??????? ??????? ???????? ???????? ??? ???????.????? ???? ??????? ?????? ????? ?????? ???? ??????? ??????? ????????? ????? ??? ????? ??????? ?????. ???? ??????? ???? ???? ??????? ??????? ??????? ???????? ????? ?????? ????? ??? ???? ???? ??????? ??????? ????????."		photo/submenu/kucuk/ticket_sale.png
"323,205"	3	7	ticketSale	SaudiGulf Airlines	???? ????? ???????? ???????	King Khaled International Airport T5	"??????, ???? ?????? 5"	9200 22022	9200 22022	photo/submenu/buyuk/ticket_sale.png				http://www.saudigulfairlines.com	"SaudiGulf Airlines, the new national carrier of Saudi Arabia now connects you from Dammam to Riyadh and Jeddah."	"???? ??????? ???????? ???????, ?????? ?????? ?????? ?? ??????? ??????? ???????? ????? ???? ?????? ??????? ????."		photo/submenu/kucuk/ticket_sale.png
"323,206"	3	7	ticketSale	Flynas	????? ???	King Khaled International Airport T5	"??????, ???? ?????? 5"	920001234	920001234	photo/submenu/buyuk/ticket_sale.png				http://www.flynas.com	"Flynas is a leading low-cost carrier from Saudi Arabia with a young fleet of 29 aircraft, operating nearly 1000 weekly flights to 33 destinations within and outside of Saudi Arabia."	"????? ??? ?? ???? ??? ????? ??????? ????? ?? ????? ??????? ????????? ????? ??????? ??????? ????????? ????? ??????? ??? 29 ????? ???? ??? 33 ???? ???? ????? ??????? ??? 1000???? ????????."		photo/submenu/kucuk/ticket_sale.png
"324,222"	3	3	rentacar	Alwefaq Rent a Car	?????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920002909	920002909	photo/submenu/buyuk/rent_a_car.png				http://www.alwefaq.com	"Al Wefaq Rent a Car offers a variety of daily rental, car leasing, chauffeur drive, events and group rental programs for government and private sectors, local car rental customers can pre book their vehicles through our dedicated Customer Communication Center or through our website."	??? ?????? ?????? ????? ?? ???? ???????? ???????? ??????? ?????? ??????? ????? ????? ????? ????? ????? ?????? ???????? ?????? ?????? ???????? ???????? ???????? ??????? ???????? ??? ???? ????? ?????? ????????		photo/submenu/kucuk/rent_a_car.png
"324,220"	3	3	rentacar	Hanco Rent a Car	????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920011501	920011501	photo/submenu/buyuk/rent_a_car.png				https://myhanco.com	"Hanco, the leading Saudi car rental company offering 25,000+ vehicles available in all major cities in Saudi Arabia & UAE."	"???? ????? ?????? ???????? ???? ?? ??,??? ????? ????? ?? ??????? ?? ??????? ??????? ???????? ?????????"		photo/submenu/kucuk/rent_a_car.png
"323,209"	3	3	rentacar	Abu Diyab Rent a Car	??? ???? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	+966 11 220 2636	+966 11 220 2636	photo/submenu/buyuk/rent_a_car.png				http://abudiyab.com.sa	Abu Diyab Rent a Car	??? ???? ?????? ????????		photo/submenu/kucuk/rent_a_car.png
"324,223"	3	3	rentacar	Theeb Rent a Car	??? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920000572	920000572	photo/submenu/buyuk/rent_a_car.png				http://www.theeb.com.sa	"Theeb is considered as one of the leading and most important rent a car companies in the Kingdom of Saudi Arabia covering the three main regions Central, Western, Eastern, Northern and regions with a vehicles fleet exceeded twelve thousand cars and continuously growing. 
Further, the company branches cover international airports in the Kingdom such as Riyadh, Jeddah, Dammam, Al Madina Al Munawara and Abha as well as regional airports such as Al Bahah, Jizan and Al Taif."	"?????? ???? ??? ????? ?? ???? ????? ????? ???????? ?? ??????? ??????? ???????? ???????? ??????? ???????? ?? ??????? (??????? ???????? ???????? ???????? ?????????) ?????? ?????? ????? ????? ?? ??? ????? ???? ???? ?????? ??? ???? ?????? ??????? ???????? ??????? ?? ??????? ?? ?? ?? ??????? ???? ??????? ??????? ??????? ?????. ???? ?? ???????? ????????? ?? ?? ?? ??????? ????? ???????"		photo/submenu/kucuk/rent_a_car.png
"324,224"	3	3	rentacar	Strac Rent a Car	????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	920028428	920028428	photo/submenu/buyuk/rent_a_car.png				http://www.strac.sa	Providing a wide range of vehicle leasing and car rental solutions to domestic and international travelers as well as corporate clients and government departments across KSA.	????? ?????? ????? ?? ???????? ??????? ????? ???????? ????? ????? ???????? ????????? ???????? ????????? ????? ????? ?? ??????? ???????? ???????? ?? ???? ????? ??????? ??????? ????????.		photo/submenu/kucuk/rent_a_car.png
"321,403"	3	3	rentacar	Alyam Alarabi Rent a Car	???? ?????? ?????? ????????	King Khaled International Airport T5	"??????, ???? ?????? 5"	+966 11 2084455	+966 11 2084455	photo/submenu/buyuk/rent_a_car.png				http://alyam.com.sa/	Alyam Alarabi Rent a Car	???? ?????? ?????? ????????		photo/submenu/kucuk/rent_a_car.png
